Type,Category,Source,Material,Subproduct,Usage,
Organic,Vegetable,Olive,Olive Pomace,Olive Pomace Oil,Culinary,
Organic,Seeds,Sunflower,Sunflower Hulls,Biomass Pellets,Fuel,
Organic,Seeds,Sunflower,Sunflower Seeds,Sunflower Oil,Culinary,
Organic,Spices,Cloves,Clove Stems,Essential Oil,Flavoring,
Organic,Spices,Cloves,Clove Stems,Natural Dye,Textile dyeing,
Organic,Herbs,Basil,Basil Stems,Essential Oil,"Aromatherapy, culinary",
Organic,Herbs,Basil,Basil Leaves,Natural Dye,Textile dyeing,
Organic,Vegetable,Peas,Pea Pods,Animal Feed,Livestock nutrition,
Organic,Vegetable,Peas,Pea Pods,Biochar,Soil amendment,
Organic,Tubers,Yams,Yam Peels,Animal Feed,Livestock nutrition,
Organic,Tubers,Yams,Yam Peels,Biochar,Soil amendment,
Organic,Grains,Millet,Millet Husks,Biomass Pellets,Fuel,
Organic,Grains,Millet,Millet Bran,Animal Feed,Livestock nutrition,
Organic,Vegetable,Cassava,Cassava Peels,"Fiber, Biofuel",Paper production,
Organic,Vegetable,Cassava,Cassava Pulp,Animal Feed,Livestock farming,
Organic,Vegetable,Cassava,Wastewater,Nutrient-rich,Fertilization,
Mechanic,Plastic,Packaging Films,LDPE,Recycled Plastic,New plastic products,
Mechanic,Plastic,Packaging Films,LDPE,Plastic Lumber,Construction materials ,
Mechanic,Metal,Steel,Steel Cans,Recycled Steel,Manufacturing new steel products ,
Mechanic,Metal,Steel,Steel Cans,Steel Alloys,Manufacturing new steel products ,
Organic,Nuts,Walnuts,Walnut Shells,Abrasive Material,Cleaning and polishing,
Organic,Nuts,Walnuts,Walnut Shells,Biochar,Soil amendment,
Organic,Nuts,Pecans,Pecan Shells,Biochar,Soil amendment,
Organic,Nuts,Pecans,Pecan Shells,Animal Bedding,Livestock farming,
Organic,Nuts,Pistachios,Pistachio Shells,Biochar,Soil amendment,
Organic,Nuts,Pistachios,Pistachio Shells,Mulch,Landscaping,
Organic,Legumes,Peanuts,Peanut Shells,Biochar,Soil amendment,
Organic,Legumes,Peanuts,Peanut Shells,Animal Bedding,Livestock farming,
Organic,Legumes,Lentils,Lentil Hulls,Biochar,Soil amendment,
Organic,Legumes,Lentils,Lentil Hulls,Animal Feed,Livestock farming,
Mechanic,Rubber,Inner Tubes,Crumb Rubber,Rubber Mats,Industrial applications,
Mechanic,Rubber,Inner Tubes,Crumb Rubber,Playground Surfacing,Landscaping,
Mechanic,Textile,Nylon Fabric,Nylon Scraps,Recycled Nylon Fiber,Textile industry,
Mechanic,Textile,Nylon Fabric,Nylon Scraps,Insulation Material,Construction,
Mechanic,Textile,Silk,Silk Fabric,Recycled Silk Fiber,Textile industry,
Mechanic,Textile,Silk,Silk Fabric,Paper,Artisanal crafts,
Organic,Grain,Millet,Millet Stalks,Biochar,Soil amendment,
Organic,Grain,Millet,Millet Stalks,Silage,Animal feed,
Organic,Grain,Quinoa,Quinoa Husks,Animal Feed,Livestock farming,
Organic,Grain,Quinoa,Quinoa Husks,Biofuel,Energy generation,
Organic,Grain,Quinoa,Quinoa Stalks,Biochar,Soil amendment,
Organic,Grain,Quinoa,Quinoa Stalks,Silage,Animal feed,
Organic,Grain,Rye,Rye Straw,Straw Bale,Construction (building materials),
Organic,Grain,Rye,Rye Straw,Bioethanol,Energy generation,
Organic,Grain,Rye,Rye Bran,Animal Feed,Livestock farming,
Organic,Grain,Rye,Rye Bran,Dietary Fiber,Food supplements,
Organic,Grain,Buckwheat,Buckwheat Hulls,Animal Feed,Livestock farming,
Organic,Grain,Buckwheat,Buckwheat Hulls,Biofuel,Energy generation,
Organic,Grain,Buckwheat,Buckwheat Stalks,Biochar,Soil amendment,
Organic,Grain,Buckwheat,Buckwheat Stalks,Silage,Animal feed,
Organic,Grain,Spelt,Spelt Husks,Animal Feed,Livestock farming,
Organic,Grain,Spelt,Spelt Husks,Bioethanol,Energy generation,
Organic,Grain,Spelt,Spelt Straw,Straw Bale,Construction (building materials),
Organic,Grain,Spelt,Spelt Straw,Biochar,Soil amendment,
Organic,Grain,Amaranth,Amaranth Husks,Animal Feed,Livestock farming,
Organic,Grain,Amaranth,Amaranth Husks,Biofuel,Energy generation,
Organic,Grain,Amaranth,Amaranth Stalks,Biochar,Soil amendment,
Organic,Grain,Amaranth,Amaranth Stalks,Silage,Animal feed,
Mechanic,Textile,Canvas,Canvas Scraps,Recycled Canvas Fiber,Textile industry,
Mechanic,Textile,Canvas,Canvas Scraps,Insulation Material,Construction,
Mechanic,Textile,Canvas,Canvas Scraps,Paper,Artisanal crafts,
Mechanic,Textile,Rayon,Rayon Scraps,Recycled Rayon Fiber,Textile industry,
Mechanic,Textile,Rayon,Rayon Scraps,Insulation Material,Construction,
Mechanic,Textile,Rayon,Rayon Scraps,Mulch,Landscaping,
Mechanic,Textile,Lycra,Lycra Scraps,Recycled Lycra Fiber,Textile industry,
Mechanic,Textile,Lycra,Lycra Scraps,Insulation Material,Construction,
Mechanic,Textile,Lycra,Lycra Scraps,Rubberized Material,Manufacturing,
Mechanic,Textile,Fleece,Fleece Scraps,Recycled Fleece Fiber,Textile industry,
Mechanic,Textile,Fleece,Fleece Scraps,Insulation Material,Construction,
Mechanic,Textile,Fleece,Fleece Scraps,Stuffing Material,Upholstery,
Mechanic,Textile,Linen,Linen Scraps,Recycled Linen Fiber,Textile industry,
Mechanic,Textile,Linen,Linen Scraps,Insulation Material,Construction,
Mechanic,Textile,Linen,Linen Scraps,Paper,Artisanal crafts,
Mechanic,Textile,Hemp,Hemp Scraps,Recycled Hemp Fiber,Textile industry,
Mechanic,Textile,Hemp,Hemp Scraps,Insulation Material,Construction,
Mechanic,Textile,Hemp,Hemp Scraps,Mulch,Landscaping,
Mechanic,Textile,Jute,Jute Scraps,Recycled Jute Fiber,Textile industry,
Mechanic,Textile,Jute,Jute Scraps,Insulation Material,Construction,
Mechanic,Textile,Jute,Jute Scraps,Mulch,Landscaping,
Mechanic,Textile,Burlap,Burlap Scraps,Recycled Burlap Fiber,Textile industry,
Mechanic,Textile,Burlap,Burlap Scraps,Insulation Material,Construction,
Mechanic,Textile,Burlap,Burlap Scraps,Mulch,Landscaping,
Mechanic,Textile,Velvet,Velvet Scraps,Recycled Velvet Fiber,Textile industry,
Mechanic,Textile,Velvet,Velvet Scraps,Insulation Material,Construction,
Mechanic,Textile,Velvet,Velvet Scraps,Stuffing Material,Upholstery,
Mechanic,Textile,Tweed,Tweed Scraps,Recycled Tweed Fiber,Textile industry,
Mechanic,Textile,Tweed,Tweed Scraps,Insulation Material,Construction,
Mechanic,Textile,Tweed,Tweed Scraps,Stuffing Material,Upholstery,
Mechanic,Textile,Flannel,Flannel Scraps,Recycled Flannel Fiber,Textile industry,
Mechanic,Textile,Flannel,Flannel Scraps,Insulation Material,Construction,
Mechanic,Textile,Flannel,Flannel Scraps,Stuffing Material,Upholstery,
Mechanic,Metal,Brass Fixtures,Brass Scrap,Recycled Brass,Manufacturing new brass products,
Mechanic,Metal,Brass Fixtures,Brass Scrap,Brass Alloys,Manufacturing,
Mechanic,Metal,Lead Batteries,Lead Scrap,Recycled Lead,Battery production,
Mechanic,Metal,Lead Batteries,Lead Scrap,Lead Alloys,Manufacturing,
Mechanic,Metal,Zinc Sheets,Zinc Scrap,Recycled Zinc,Galvanizing steel,
Mechanic,Metal,Zinc Sheets,Zinc Scrap,Zinc Oxide,Rubber and paint industries,
Mechanic,Metal,Tin,Tin Cans,Recycled Tin,Manufacturing new tin products,
Mechanic,Metal,Tin,Tin Cans,Tin Scrap,Manufacturing,
Mechanic,Metal,Nickel Plating,Nickel Scrap,Recycled Nickel,Battery production,
Mechanic,Metal,Nickel Plating,Nickel Scrap,Nickel Alloys,Manufacturing,
Mechanic,Metal,Titanium Parts,Titanium Scrap,Recycled Titanium,Aerospace industry,
Mechanic,Metal,Titanium Parts,Titanium Scrap,Titanium Alloys,Manufacturing,
Mechanic,Metal,Steel,Stainless Steel,Stainless Scrap,Manufacturing new stainless steel products,
Mechanic,Metal,Iron,Iron Pipes,Iron Scrap,Recycled Iron,
Mechanic,Metal,Iron,Iron Pipes,Iron Scrap,Cast Iron Products,
Mechanic,Metal,Tantalum Capacitors,Tantalum Scrap,Recycled Tantalum,Electronics and aerospace,
Mechanic,Metal,Tantalum Capacitors,Tantalum Scrap,Tantalum Alloys,Manufacturing,
Mechanic,Metal,Gallium Electronics,Gallium Scrap,Recycled Gallium,Electronics and semiconductors,
Mechanic,Metal,Gallium Electronics,Gallium Scrap,Gallium Compounds,Pharmaceuticals and lighting,
Mechanic,Ceramics,Ceramic Tiles,Broken Ceramics,Recycled Ceramics,Construction materials,
Mechanic,Ceramics,Ceramic Tiles,Broken Ceramics,Ceramic Aggregate,Landscaping ,
Mechanic,Ceramics,Ceramic Dishes,Broken Ceramics,Recycled Ceramics,Construction materials,
Mechanic,Ceramics,Ceramic Dishes,Broken Ceramics,Ceramic Powder,Additive in concrete,
Mechanic,Ceramics,Porcelain,Porcelain Fixtures,Broken Porcelain,Construction materials,
Mechanic,Ceramics,Porcelain,Porcelain Fixtures,Porcelain Aggregate,Landscaping,
Mechanic,Electronics,Cables,Cable Scrap,Recycled Copper,Electrical components,
Mechanic,Electronics,Cables,Cable Scrap,Recycled Plastic,New plastic products,
Mechanic,Electronics,Cables,Cable Scrap,Recovered Aluminum,Manufacturing,
Organic,Nut,Walnut,Walnut Shells,Walnut Shell Flour,Abrasive materials,
Organic,Nut,Walnut,Walnut Shells,Animal Bedding,Livestock industry,
Organic,Nut,Walnut,Walnut Shells,Compost,Agriculture,
Organic,Nut,Cashew Shells,Cashew Shell,Cashew Nut Shell Liquid,Resin and coatings,
Organic,Nut,Cashew Shells,Cashew Shell,Biofuel,Energy production,
Organic,Nut,Cashew Shells,Cashew Shell,Compost,Agriculture,
Organic,Nut,Hazelnut Shells,Hazelnut Shell,Biomass Fuel,Energy production,
Organic,Nut,Hazelnut Shells,Hazelnut Shell,Animal Bedding,Livestock industry,
Organic,Nut,Hazelnut Shells,Hazelnut Shell,Mulch,Landscaping,
Organic,Nut,Pecan,Pecan Shells,Biomass Fuel,Energy production,
Organic,Nut,Pecan,Pecan Shells,Animal Bedding,Livestock industry,
Organic,Nut,Pecan,Pecan Shells,Mulch,Landscaping,
Organic,Nut,Macadamia Nut Shells,Macadamia Nut Shell,Biomass Fuel,Energy production,
Organic,Nut,Macadamia Nut Shells,Macadamia Nut Shell,Activated Carbon,Water and air purification,
Organic,Nut,Macadamia Nut Shells,Macadamia Nut Shell,Compost,Agriculture,
Organic,Nut,Chestnut Shells,Chestnut Shell,Biomass Fuel,Energy production,
Organic,Nut,Chestnut Shells,Chestnut Shell,Animal Bedding,Livestock industry,
Organic,Nut,Chestnut Shells,Chestnut Shell,Compost,Agriculture,
Organic,Fruit,Durian Shells,Durian Shell,Activated Carbon,Water and air purification,
Organic,Fruit,Durian Shells,Durian Shell,Biochar,Soil amendme,
Organic,Fruit,Jujube Seeds,Jujube Seed,Oil,"Cosmetics, cooking",
Organic,Fruit,Jujube Seeds,Jujube Seed,Animal Feed,Livestock feed,
Organic,Fruit,Jujube Seeds,Jujube Seed,Biofuel,Energy production,
Organic,Vegetable,Radish,Radish Leaves,Animal Feed,Livestock feed,
Organic,Vegetable,Radish,Radish Leaves,Biofuel,Energy production,
Organic,Vegetable,Radish,Radish Leaves,Compost,Agriculture,
Organic,Fruit,Mangosteen Rinds,Mangosteen Rind,Biochar,Soil amendment,
Organic,Fruit,Mangosteen Rinds,Mangosteen Rind,Natural Dye,"Textiles, food coloring",
Organic,Fruit,Mangosteen Rinds,Mangosteen Rind,Animal Feed,Livestock feed,
Organic,Vegetable,Kale,Kale Stems,Biofuel,Energy production,
Organic,Vegetable,Kale,Kale Stems,Animal Feed,Livestock feed,
Organic,Vegetable,Kale,Kale Stems,Compost,Agriculture,
Organic,Fruit,Passionfruit,Passion Fruit Seeds,Animal Feed,Livestock feed,
Organic,Fruit,Passionfruit,Passion Fruit Seeds,Biofuel,Energy production,
Mechanic,Metals,Construction debris,Rebar offcuts,Recycled steel,Construction materials,
Mechanic,Metals,Construction debris,Rebar offcuts,Recycled steel,Manufacturing new steel products,
Mechanic,Metals,Construction debris,Structural steel beams,Recycled steel,Building materials,
Mechanic,Metals,Construction debris,Structural steel beams,Recycled steel,Structural components,
Mechanic,Metals,Construction debris,Metal fasteners,Recycled metal alloys,New fasteners,
Mechanic,Metals,Construction debris,Metal fasteners,Recycled metal alloys,Manufacturing new products,
Mechanic,Metals,Construction debris,Aluminum siding,Recycled aluminum,Building materials,
Mechanic,Metals,Construction debris,Aluminum siding,Recycled aluminum,Manufacturing new aluminum products,
Mechanic,Metals,Construction debris,Galvanized steel,Recycled steel,Structural components,
Mechanic,Metals,Construction debris,Galvanized steel,Recycled steel,Manufacturing new steel products,
Mechanic,Plastic,Toys,PVC toys,Recycled PVC,New toys,
Mechanic,Plastic,,PVC toys,Recycled PVC,Plastic piping,
Mechanic,Plastic,Toys,PVC toys,Recycled PVC,Plastic flooring,
Mechanic,Plastic,Grocery bags,LDPE grocery bags,Recycled LDPE,New grocery bags,
Mechanic,Plastic,Grocery bags,LDPE grocery bags,Recycled LDPE,Plastic sheeting,
Mechanic,Plastic,Grocery bags,LDPE grocery bags,Recycled LDPE,Plastic packaging,
Mechanic,Plastic,Bubble wrap,LDPE bubble wrap,Recycled LDPE,New bubble wrap,
Mechanic,Plastic,Bubble wrap,LDPE bubble wrap,Recycled LDPE,Plastic sheeting,
Mechanic,Plastic,Bubble wrap,LDPE bubble wrap,Recycled LDPE,Packaging materials,
Mechanic,Plastic,Disposable cups,PP disposable cups,Recycled PP,New disposable cups,
Mechanic,Plastic,Disposable cups,PP disposable cups,Recycled PP,Consumer goods,
Mechanic,Plastic,Disposable cups,PP disposable cups,Recycled PP,Automotive parts,
Mechanic,Metal,Steel,Mill scale,Iron oxide,Pigment in paints,CLAUDE AI
Mechanic,Metal,Steel,Mill scale,Iron oxide,Raw material in steelmaking,
Organic,Conifer,Pine tree,Pine needles,Essential oils,Aromatherapy products,
Organic,Conifer,Pine tree,Pine needles,Essential oils,Natural cleaning agents,
Organic,Conifer ,Pine tree,Pine resin,Rosin,Adhesives in electronics,
Organic,Conifer,Pine tree,Pine resin,Rosin,Violin bow treatment,
Organic,Grass,Sugarcane,Bagasse,Cellulose fibers,Paper production,
Organic,Grass,Sugarcane,Bagasse,Cellulose fibers,Biodegradable packaging,
Organic,Grass,Sugarcane,Molasses,Ethanol,Biofuel production,
Organic,Grass,Sugarcane,Molasses,Ethanol,Alcoholic beverage ,
Organic,Flower,Sunflower ,Sunflower stalks ,Cellulose ,Paper Production,
Organic,Flower,Sunflower ,Sunflower stalks ,Biochar ,Soil amendment ,
Organic,Fungi,Oyster mushroom,Mycelium,Mycelium foam,Packaging material,
Organic,Fungi,Oyster mushroom,Mycelium,Mycelium foam,Insulation panels,
Organic,Root,Cassava,Cassava peels,Bioethanol,Fuel additive,
Organic,Root,Cassava,Cassava peels,Animal feed,Livestock nutrition,
Organic,Seed,Moringa,Seed cake,Flocculant,Water treatment,
Organic,Seed,Moringa,Seed cake,Fertilizer,Organic agriculture,
Organic,Cactus,Prickly pear,Cladodes,Mucilage,Natural water purifier,
Organic,Cactus,Prickly pear,Cladodes,Dietary fiber,Nutritional supplements,
Mechanic,Polymer,Kevlar vests,Aramid fibers,Recycled aramid,Reinforced concrete,
Mechanic,Polymer,Kevlar vests,Aramid fibers,Recycled aramid,Fire-resistant clothing,
Mechanic,Polymer,Kevlar vests,Aramid fibers,Recycled aramid,Fire-resistant clothing,
Mechanic,Textile,Cigarette filters,Cellulose acetate,Recycled plastic,Industrial pallets,
Mechanic,Textile,Cigarette filters,Cellulose acetate,Recycled plastic,Roofing tiles,
Mechanic,Paper,Cigarette filters,Cellulose fibers,Recycled paper,Packing material,
Mechanic,Paper,Cigarette filters,Cellulose fibers,Recycled paper,Insulation material,
Organic,Fruit,Durian,Durian rind,Cellulose,Biodegradable food packaging,
Organic,Fruit,Durian,Durian rind,Cellulose,Absorbent hydrogels,
Organic,Fruit,Durian,Durian seeds,Gum,Natural thickener,
Organic,Fruit,Durian,Durian seeds,Gum,Adhesive in paper industry,
Organic,Fruit,Avocado,Avocado seed,Bioplastic,Food Packaging ,
Organic,Fruit,Avocado,Avocado seed,Bioplastic,DIsposable cups ,
Organic,Vegetable,Garlic,Garlic skins,Allicin extract,Natural pesticide,
Organic,Vegetable,Garlic,Garlic skins,Allicin extract,Antimicrobial food preservative,
Organic,Nut,Cashew,Cashew nut shell liquid,Cardanol,Friction dust for automotive brakes,
Organic,Nut,Cashew,Cashew nut shell liquid,Cardanol,Epoxy resin hardener,
Organic,Fruit,Mango,Mango pits,Mango butter,Cosmetic moisturizer,
Organic,Fruit,Mango,Mango pits,Mango butter,Food industry emollient,
Organic,Insect,Silkworm,Silk cocoons,Sericin protein,Wound dressings,
Organic,Insect,Silkworm,Silk cocoons,Sericin protein,Cosmetic moisturizer,
Organic,Insect,Silkworm,Silkworm excrement,Organic fertilizer,Crop nutrition,
Organic,Insect,Silkworm,Silkworm excrement,Organic fertilizer,Mushroom cultivation,
Organic,Mollusk,Mussels,Mussel shells,Calcium carbonate,Poultry feed supplement,
Organic,Mollusk,Mussels,Byssus threads,Biopolymer,Surgical sutures,
